Name,ID
Arizona Diamondbacks,1
San Francisco Giants,2
Colorado Rockies,3
Florida Marlins,4
Atlanta Braves,5
Chicago Cubs,6
Detroit Tigers,7
New York Yankees,8
Minnesota Twins,9
Seattle Mariners,10
Milwaukee Brewers,11
Texas Rangers,12
Golden Warriors,13
Houston Rockets,14
LA Lakers,15
Toronto Rapters,16
Denver Nuggets,17
Oklahoma Thunder,18
Miami Heat,19
NY Knicks,20
Chicago Bulls,21
Patrioits,22
Dallas Cowboys,23
Philly Eagles,24
NY Giants,25
Seattle Seahawks,26
Chicago Bears,27
LA Chargers,28
Carolina Panthers,29
Baltimore Ravens,30
